,,Acc,Acc,Acc,Acc,Acc
,,min,max,median,std,mean
real time,real time,,,,,
23 days,13:00:00,0.0,21563.533709362317,214.7494518477343,1591.2738937668055,952.0112868561956
23 days,14:00:00,0.001596768686795258,59884.78326284593,279.0503010494094,1461.2666377591206,801.3436993483626
23 days,15:00:00,0.0001655502807125231,19029.246328875888,40.608467765770854,623.9686116623177,280.18693979962666
23 days,16:00:00,0.0001269986855731986,6576.197356369993,37.587888769822484,461.9210472542949,160.04812174712927
23 days,17:00:00,0.00053129358610704,5950.704550481554,48.72666500557625,469.01439030964247,208.80451937127344
23 days,18:00:00,0.00010976447720167926,55362.09123323661,148.1794635332035,820.5741584611935,430.4271605035151
23 days,19:00:00,0.0002064855070784688,60866.08784073444,423.8552620982939,1545.8660368054454,833.7104619910725
23 days,20:00:00,0.006138916911368142,61024.51977410232,556.6650976475612,1364.2671033239976,929.4975748118483
23 days,21:00:00,0.0013790659450023668,61156.69981806562,470.07207009808917,1743.425214750456,935.0232601346003
23 days,22:00:00,0.0021437198265630286,61436.751040443334,389.711486157491,1391.8576042616414,758.4683030518003
23 days,23:00:00,0.001169753535577911,61362.657013872325,409.8200903795978,1608.9572012270012,840.6714461825746
24 days,00:00:00,0.000136425926029915,65626.26706735842,141.53335766289217,1089.8503383888512,535.1263910603125
24 days,01:00:00,0.00442296347773663,50787.03232408339,106.33083817937131,1105.536285230987,383.12252189984963
24 days,02:00:00,0.0004027833338113851,60287.85992700035,317.8029297137564,1377.4214595080275,684.2385393147405
24 days,03:00:00,0.008149459379637847,62576.34230316,401.7643465046676,1443.3004005103683,761.3340457460997
24 days,04:00:00,0.0005498228920259862,62589.84242289515,533.2606762611726,1364.415652140961,864.4742565935696
24 days,05:00:00,0.0012979659130678556,61512.496655721,159.58512005278044,1071.8232793401744,572.9060064851766
24 days,06:00:00,0.0011924527880182723,60926.34127533288,448.3225552390086,1417.6066095227768,968.204271282334
24 days,07:00:00,0.0007884867807206319,55624.62420563168,67.1397478726328,1133.9736668733333,589.9859133347625
24 days,08:00:00,0.0004830835980556003,13284.975168616294,28.11120957286016,435.65079845409053,114.55646063624886
24 days,09:00:00,4.286749935999978e-05,17188.329327547974,32.833225784868546,312.4704729047619,110.45686202244963
24 days,10:00:00,7.90880458225729e-05,9135.092844655503,28.224644718138734,337.2500954797785,100.5866477470391
24 days,11:00:00,0.0007047790713841096,7458.868459728286,28.865509091679087,255.8853009333681,79.25493204001316
24 days,12:00:00,0.00018676408126339084,9849.062277724734,34.15369524278452,512.3913360393609,201.73825244703326
24 days,13:00:00,4.485293720790651e-05,8082.566219172492,29.602404998327074,362.70607130560984,111.0763226042252
24 days,14:00:00,3.002841315513649e-05,9488.557547858913,26.199426294871955,205.01258439433659,62.76720919230727
24 days,15:00:00,0.0007085048609951627,7857.661950333489,28.15211166289282,346.91407506746697,109.8949000104047
24 days,16:00:00,0.0007295161623943613,6880.127399308869,42.95841055101414,564.6712465723494,262.4841601543784
24 days,17:00:00,0.0035607829236141697,9062.770471243708,40.5182370073684,605.2588610399519,259.01303861648444
24 days,18:00:00,0.0010994030844813096,59345.34389701267,140.01191095595368,711.8983672933931,325.71960482043954
24 days,19:00:00,0.0004933981199428672,61720.43142926085,555.696547748058,1547.1742332976985,950.0953300705869
24 days,20:00:00,0.00023271673398994608,60712.781498823926,194.49823974564652,1185.9952712971292,546.317185466058
24 days,21:00:00,0.0009517498010609415,60756.10658082046,492.25064268074857,1250.0495143248213,814.0315927818499
24 days,22:00:00,0.006839399205091468,61283.282861348824,457.7992923799013,1240.9945906478395,819.8898967682228
24 days,23:00:00,0.0007260531710926443,60563.634280274004,425.45843350121504,1088.4810987022163,738.2929422172318
25 days,00:00:00,0.006504271803351003,59950.03778840792,605.3127698328854,1237.3603991063371,927.6784569246666
25 days,01:00:00,0.0005837284843437374,60505.29697343882,365.4046429724749,1409.6488531136574,799.5246943465157
25 days,02:00:00,0.016865085155586712,61085.484085048716,638.0215669918703,1186.01161327015,1027.7929324078475
25 days,03:00:00,0.003989809799804789,60397.57701162139,690.2271742792491,1346.8539088386462,1041.1938985668294
25 days,04:00:00,0.0070631866437906865,59638.78712712411,573.8984378334062,1767.9786717920913,1144.566047573142
25 days,05:00:00,0.0002081310191783814,42251.56862593918,70.14535838993915,848.963564251061,349.2688497232713
25 days,06:00:00,8.79725579920887e-05,7971.09219730239,37.12450523005435,318.8200254000738,83.70718478568506
25 days,07:00:00,0.0005401165090006543,7679.744569400295,30.75501634460025,364.11538323135784,101.04168023362685
25 days,08:00:00,0.000677402441851882,9836.202880839583,36.2008275208691,483.89113483859467,178.4607337752174
25 days,09:00:00,0.00022105217203716165,19337.590343436652,34.72211636745806,391.46268489328685,157.0547523872259
25 days,10:00:00,0.00026508259452384664,11998.425615765824,31.490741624691836,283.51989927189777,106.45628066073428
25 days,11:00:00,0.00011337614205331192,57643.18750403884,42.71231079758036,735.3740693441231,278.7650922267656
25 days,12:00:00,5.999854329274967e-05,56810.11184445284,37.2830315019537,546.9844140852186,161.97535838242385
25 days,13:00:00,0.00039530241701868363,28379.77310856164,32.46134503522717,343.29050416947575,111.75364193381074
25 days,14:00:00,0.0004778926304425113,8147.378342342988,29.305333286907626,304.8849223844173,101.86894018582501
25 days,15:00:00,0.00016899698857741896,10262.672227836803,30.225942015992587,356.8562796801837,115.48356606133441
25 days,16:00:00,0.00011592158602979907,6330.887920604631,29.231598657437303,324.73710962550865,97.48138762987632
25 days,17:00:00,0.0007919745407889422,7398.1533309953975,36.19873920184989,526.1383114046674,179.0680010943848
25 days,18:00:00,0.00039449590985896066,31248.586900809736,268.2388301521255,978.804830811835,597.4610191956399
25 days,19:00:00,0.002636560620885575,59830.99092788619,693.0953047137855,1574.6564348562897,1146.774965934112
25 days,20:00:00,0.0005029823005315848,59934.09100403625,654.8042222701533,1167.378103846909,985.3141753777942
25 days,21:00:00,0.0005517533008969622,60914.57449760512,567.4847083459213,1596.4116058589134,1037.2871272783998
25 days,22:00:00,1.267934112547664e-05,59945.95630836565,692.3119039036565,1447.393766431263,1076.7412249773204
25 days,23:00:00,0.0009464054764976026,33802.06577580307,297.456779882943,899.5631239688503,580.5012371056557
